1,15694,14430
1,938,802
0,846,744
2,940,860
2,810,765
0,819,735
6,788,715
6,854,813
8,845,789
11,888,791
12,837,744
13,930,773
19,882,902
29,890,881
31,911,994
36,993,1034
45,900,1160
53,961,1144
71,903,1069
70,930,1255
92,906,1099
100,914,965
104,921,1062
128,947,1002
115,946,1175
141,1007,991
152,1012,910
194,1092,1101
231,1163,1273
232,1163,1215
234,1257,1586
275,1397,1910
265,1320,2195
288,1380,2639
280,1315,2805
287,1468,3776
334,1409,3927
298,1456,4043
315,1536,4782
342,1620,5042
316,1527,5142
335,1661,5160
334,1648,4194
342,1822,4175
387,1938,4215
358,1891,2991
353,1983,3062
305,2123,2394
325,2230,2809
358,2139,2167
378,2204,1819
351,2214,2057
359,2091,1683
363,2083,1630
384,2049,1637
364,1966,1601
363,1859,1914
390,1702,1704
396,1537,1550
366,1387,1648
409,1229,1841
406,1099,1591
419,965,1771
397,965,1951
458,825,1787
408,720,1847
388,659,1742
388,645,2015
388,606,1965
389,573,1932
429,516,2093
412,568,2253
427,517,2293
449,522,2290
395,512,2236
412,527,2517
448,482,2908
400,486,2575
446,451,3050
461,528,3306
497,478,3172
451,459,3197
463,441,2977
513,477,3438
524,430,3068
563,475,2789
541,457,2943
512,413,2545
659,477,2929
587,462,2582
603,421,2081
641,475,2137
698,411,2168
696,430,1799
737,392,1785
712,457,1571
801,419,1928
858,415,1514
874,432,1305
947,417,1479
974,408,1308
1098,404,1139
1149,403,1150
1197,403,1113
1384,435,1037
1419,440,1033
1442,412,898
1508,429,871
1754,466,939
1810,386,744
1832,422,794
1768,407,665
2150,493,777
2004,490,682
2082,449,566
2212,477,615
2211,475,566
2076,481,512
2178,519,552
2085,487,441
2372,489,543
2181,484,467
2135,486,374
2148,527,390
2185,560,446
2024,559,340
2028,515,368
1693,622,398
2032,586,331
1921,546,342
1845,536,287
1798,634,348
1788,589,286
1806,544,272
1755,545,292
1710,635,287
1780,610,307
1730,593,244
1795,629,256
1702,655,236
1700,639,295
1739,626,223
1765,635,261
1772,724,267
1840,706,221
1721,686,243
1690,711,241
1765,750,276
1668,731,262
1744,747,262
1736,820,252
1698,766,238
1776,867,300
1638,903,252
1617,887,224
1511,915,245
1643,957,273
1577,937,205
1576,960,253
1560,1041,305
1570,1121,249
1548,1045,270
1368,1116,255
1559,1234,272
1461,1194,276
1476,1162,225
1540,1233,234
1568,1340,245
1597,1263,264
1671,1289,252
1660,1290,224
1704,1413,252
1835,1472,311
1770,1438,233
1909,1555,249
1821,1551,216
2153,1827,258
2042,1816,274
2021,1808,220
2030,1909,252
2112,1914,259
2081,1957,262
2257,1946,236
2065,2049,217
2360,2148,314
2209,1990,244
2293,1990,253
2203,1941,286
2529,2038,286
2508,1852,245
2443,1890,286
2458,1917,282
2748,2163,304
2790,2046,301
2785,1908,273
2975,2078,356
3067,1965,264
3264,1833,268
3583,1895,254
3432,2004,281
3485,1904,237
3252,1984,223
3051,2059,193
2845,2199,160
2601,2364,223
2261,2319,192
2109,2518,136
2030,2538,173
1869,2440,140
1664,2263,147
1467,1952,114
1375,1853,148
1168,1547,129
1081,1362,113
1028,1248,118
842,1040,107
835,1044,147
656,833,126
599,722,111
464,745,153
462,723,156
292,699,121
217,760,84
140,802,31
117,972,16
56,718,3
35,547,3
15,387,2
8,242,1
0,160,1
0,136,0
2,64,0
0,39,0
0,24,0
0,11,0
0,7,0
0,4,0
0,2,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
