0,99,604
18,41,137
0,54,145
22,83,210
1,77,272
7,136,1143
20,467,1912
37,1790,5318
9,3807,5994
165,4863,6445
92,4836,11199
1016,6953,11067
411,6253,6449
2731,6811,5352
5218,6200,5437
4963,4716,4570
2307,4301,2281
8140,5310,2384
4632,3510,2067
7488,2627,1253
4285,2988,1885
5824,2730,1625
3019,1742,1261
3701,1711,1106
4870,1661,1521
2894,1509,1304
2194,1173,1073
2227,1038,906
1926,1139,1102
2157,988,1155
1272,1028,1178
1538,1221,916
956,1036,952
1551,1008,943
1039,973,1020
1128,1031,907
825,885,943
839,879,855
1379,902,774
1018,895,859
759,808,872
749,825,804
769,733,796
1035,788,785
561,715,982
675,727,973
764,659,994
558,615,851
929,705,1133
703,775,1130
747,765,1597
436,775,1091
709,919,1333
822,1084,1516
654,900,2045
433,927,1311
665,1170,1711
752,1401,1859
1014,1112,1421
533,1153,2326
865,1384,2050
1000,1316,2022
1275,1639,1547
761,1543,2489
1100,1703,2248
1355,1465,1979
779,1660,1687
1775,1653,2261
1427,1968,2116
1855,1745,2503
989,1659,1706
1546,1767,2015
2422,2018,1892
2052,1784,2313
1301,1595,1538
1739,1735,1934
2398,1924,1713
2324,1886,1589
1534,1525,2179
1524,1717,1930
2150,1537,1523
2484,1486,1456
1667,1814,1558
1363,1450,1876
2133,1976,1391
1663,1635,1097
2477,1570,1326
1386,1662,1423
1898,1962,1356
1734,1662,1033
1417,1444,1097
2666,1525,1031
1816,1685,1064
1741,1503,1154
1475,1317,1093
1765,1376,988
2236,1294,1048
1663,1390,1218
1453,1731,1011
3440,3241,3278
2260,1237,947
1548,1168,1052
1270,1144,1027
1191,1104,1098
1225,1204,908
1844,1363,1255
1349,1148,1233
1289,1162,1181
1133,1412,1091
1364,1305,1001
2031,1052,959
1381,1121,1047
1115,1144,1080
1209,1228,1034
1287,1014,879
1643,1102,985
1144,1112,1040
1197,1018,949
1204,1026,945
1125,1189,923
1599,1050,1073
1169,1024,1138
1217,995,1167
1099,953,1076
1502,1205,1053
1129,991,1166
1144,969,1164
1210,936,1048
1064,1048,1005
1643,1010,1001
1290,1154,1087
1222,1041,1123
1094,1082,1123
1127,1064,1103
1627,1127,1076
1343,1045,1144
1104,1113,1194
1114,1056,1060
1454,1147,1024
1324,1104,1041
1222,1105,1191
1032,1066,1179
1112,998,1127
1507,1117,1089
1223,990,1122
1144,1110,1022
1174,1050,1161
1207,949,972
1593,961,921
1048,1062,904
1102,1115,1015
1146,999,990
1007,1160,817
1542,1090,901
1010,1061,870
1129,965,840
1000,983,683
1019,973,693
1450,1001,661
1009,972,694
987,896,657
1004,897,563
1102,836,476
1087,919,519
845,966,450
840,827,423
849,895,436
1137,816,345
753,841,398
747,847,367
678,806,314
600,677,300
839,702,271
556,692,303
597,690,246
443,585,264
509,656,240
506,572,240
428,568,213
396,490,216
374,438,191
521,471,167
376,434,222
309,351,167
267,337,195
309,307,218
340,332,234
186,297,196
148,324,196
131,333,197
111,262,191
121,314,252
72,317,193
82,291,179
69,307,174
57,230,219
52,252,135
39,252,187
48,184,140
35,167,134
30,166,154
38,175,114
35,126,101
30,105,106
32,85,82
27,69,63
25,57,60
27,39,45
30,30,35
28,21,24
18,20,17
23,23,9
19,21,21
22,16,4
28,20,9
27,17,6
20,12,5
25,14,10
25,14,9
27,16,3
14,12,10
18,13,8
24,14,3
24,11,5
23,12,4
18,7,5
16,9,1
20,12,3
10,9,4
15,7,2
15,9,3
17,10,2
12,11,2
25,9,6
12,12,1
15,5,1
13,9,0
20,8,1
13,9,1
9,9,4
10,9,1
20,11,0
9,7,2
11,10,1
9,8,0
10,8,0
19,7,3
10,5,1
11,7,1
6,11,0
8,6,1
16,5,5
12,8,0
15,4,4
13,7,0
752,343,16
